seqname	type	start	end	strand	feature_id
Chr4	gene	501287	503394	-	AT4G01180
Chr4	gene	504211	506131	-	AT4G01190
Chr4	gene	506511	507626	-	AT4G01200
Chr4	gene	507717	512782	-	AT4G01210
Chr4	gene	513213	515853	-	AT4G01220
Chr4	gene	516264	517408	-	AT4G01230
Chr4	gene	517795	521972	-	AT4G01240
Chr4	gene	527591	528144	+	AT4G01245
Chr4	gene	522604	524216	-	AT4G01250
Chr4	gene	528570	529547	-	AT4G01260
Chr4	gene	532351	534984	+	AT4G01270
Chr4	gene	535211	537322	+	AT4G01280
Chr4	gene	537990	543869	-	AT4G01290
Chr4	gene	543970	545547	-	AT4G01310
Chr4	gene	545796	549261	+	AT4G01320
Chr4	gene	550233	550376	-	AT4G01328
Chr4	gene	550349	553016	+	AT4G01330
Chr4	gene	553393	554089	+	AT4G01335
Chr4	gene	554539	556961	+	AT4G01340
Chr4	gene	560259	562438	+	AT4G01350
Chr4	gene	562561	562634	-	AT4G01355
Chr4	gene	564760	566310	+	AT4G01360
Chr4	gene	567095	569088	+	AT4G01370
Chr4	gene	569148	570076	-	AT4G01380
Chr4	gene	570242	571595	-	AT4G01390
Chr4	gene	572997	577276	-	AT4G01400
Chr4	gene	578165	579169	+	AT4G01410
Chr4	gene	580038	581518	-	AT4G01420
Chr4	gene	585598	588029	+	AT4G01430
Chr4	gene	596399	598718	+	AT4G01440
Chr4	gene	608454	610724	+	AT4G01450
Chr4	gene	611866	611932	-	AT4G01455
Chr4	gene	620759	622945	+	AT4G01460
Chr4	gene	625092	625850	-	AT4G01470
Chr4	gene	626118	628055	+	AT4G01480
Chr4	gene	639247	640940	+	AT4G01500
Chr4	gene	642733	644336	+	AT4G01510
Chr4	gene	649862	649957	+	AT4G01516
Chr4	gene	656407	659178	-	AT4G01520
Chr4	gene	667148	669073	-	AT4G01533
Chr4	gene	669339	669830	+	AT4G01535
Chr4	gene	670483	672789	-	AT4G01540
Chr4	gene	673862	676411	-	AT4G01550
Chr4	gene	677054	679237	-	AT4G01560
Chr4	gene	679472	681940	+	AT4G01570
Chr4	gene	681862	682601	-	AT4G01575
Chr4	gene	685746	686827	+	AT4G01580
Chr4	gene	688813	690434	-	AT4G01590
Chr4	gene	690710	692169	+	AT4G01593
Chr4	gene	690726	691993	-	AT4G01595
Chr4	gene	693181	694340	+	AT4G01600
Chr4	gene	694695	697206	+	AT4G01610
Chr4	gene	700653	701527	+	AT4G01630
Chr4	gene	702563	703600	+	AT4G01640
Chr4	gene	704407	706965	-	AT4G01650
Chr4	gene	708544	711256	+	AT4G01660
Chr4	gene	711192	712643	-	AT4G01670
Chr4	gene	713216	713389	-	AT4G01671
Chr4	gene	716004	717579	-	AT4G01680
Chr4	gene	729887	732433	+	AT4G01690
Chr4	gene	732313	733510	-	AT4G01700
Chr4	gene	734252	734365	-	AT4G01703
Chr4	gene	735753	736604	+	AT4G01710
Chr4	gene	744921	748554	+	AT4G01720
Chr4	gene	749574	752034	+	AT4G01730
Chr4	gene	752288	752873	-	AT4G01735
Chr4	gene	753422	755456	+	AT4G01740
Chr4	gene	756363	758590	+	AT4G01750
Chr4	gene	759131	761134	-	AT4G01760
Chr4	gene	764514	766865	+	AT4G01770
Chr4	gene	767310	769246	+	AT4G01780
Chr4	gene	769865	770835	+	AT4G01790
Chr4	gene	770722	776260	-	AT4G01800
Chr4	gene	776488	780355	-	AT4G01810
Chr4	gene	780734	785329	-	AT4G01820
Chr4	gene	785683	790447	-	AT4G01830
Chr4	gene	793261	795139	+	AT4G01840
Chr4	gene	796097	798286	-	AT4G01850
Chr4	gene	801032	808060	-	AT4G01860
Chr4	gene	808270	808342	-	AT4G01865
Chr4	gene	808376	810446	-	AT4G01870
Chr4	gene	810699	812925	-	AT4G01880
Chr4	gene	813068	815170	+	AT4G01883
Chr4	gene	816210	818428	+	AT4G01890
Chr4	gene	819957	820379	+	AT4G01895
Chr4	gene	820336	821505	-	AT4G01897
Chr4	gene	821685	823523	+	AT4G01900
Chr4	gene	824568	826685	-	AT4G01910
Chr4	gene	827237	828607	+	AT4G01915
Chr4	gene	828890	831200	-	AT4G01920
Chr4	gene	833173	834340	-	AT4G01925
Chr4	gene	838802	840760	-	AT4G01930
Chr4	gene	841057	842364	+	AT4G01935
Chr4	gene	841989	843459	-	AT4G01940
Chr4	gene	844409	846787	-	AT4G01950
Chr4	gene	851210	853165	-	AT4G01960
Chr4	gene	853922	857008	-	AT4G01970
Chr4	gene	866236	868126	-	AT4G01985
Chr4	gene	871145	872913	-	AT4G01990
Chr4	gene	873054	874772	+	AT4G01995
Chr4	gene	874880	875903	+	AT4G02000
Chr4	gene	876908	879741	-	AT4G02005
Chr4	gene	881090	885399	+	AT4G02010
Chr4	gene	886600	891955	+	AT4G02020
Chr4	gene	892176	897318	+	AT4G02030
Chr4	gene	897547	898370	+	AT4G02040
Chr4	gene	898307	900870	-	AT4G02050
Chr4	gene	901176	901247	+	AT4G02055
Chr4	gene	900636	905591	+	AT4G02060
Chr4	gene	905866	913190	+	AT4G02070
Chr4	gene	913419	916476	-	AT4G02075
Chr4	gene	921454	922777	+	AT4G02080
Chr4	gene	923100	923916	+	AT4G02090
Chr4	gene	930065	932330	+	AT4G02100
Chr4	gene	935086	940191	+	AT4G02110
Chr4	gene	940778	944291	+	AT4G02120
Chr4	gene	944360	947085	-	AT4G02130
Chr4	gene	949460	951063	-	AT4G02140
Chr4	gene	950611	953690	-	AT4G02150
Chr4	gene	955101	955652	-	AT4G02160
Chr4	gene	958049	958641	+	AT4G02170
Chr4	gene	959964	963517	+	AT4G02180
Chr4	gene	967372	969351	+	AT4G02190
Chr4	gene	970007	972307	-	AT4G02195
Chr4	gene	972707	974692	+	AT4G02200
Chr4	gene	973924	976129	-	AT4G02210
Chr4	gene	976278	979163	+	AT4G02220
Chr4	gene	979170	980670	-	AT4G02230
Chr4	gene	980955	981711	+	AT4G02235
Chr4	gene	983970	984523	+	AT4G02250
Chr4	gene	985232	991494	+	AT4G02260
Chr4	gene	992175	993038	-	AT4G02270
Chr4	gene	994927	998967	+	AT4G02280
Chr4	gene	1002394	1005253	-	AT4G02290
Chr4	gene	1009366	1013034	-	AT4G02300
Chr4	gene	1014680	1015729	-	AT4G02310
Chr4	gene	1022725	1026118	-	AT4G02320
Chr4	gene	1029682	1029780	-	AT4G02325
Chr4	gene	1032413	1035037	+	AT4G02330
Chr4	gene	1035681	1037615	+	AT4G02340
Chr4	gene	1038114	1040774	+	AT4G02350
Chr4	gene	1041142	1041733	+	AT4G02360
Chr4	gene	1042338	1043206	+	AT4G02370
Chr4	gene	1046204	1046997	-	AT4G02380
Chr4	gene	1049957	1054065	+	AT4G02390
Chr4	gene	1054199	1057998	+	AT4G02400
Chr4	gene	1057854	1059671	-	AT4G02405
Chr4	gene	1059889	1062153	-	AT4G02410
Chr4	gene	1064363	1066372	-	AT4G02420
Chr4	gene	1067280	1068785	-	AT4G02425
Chr4	gene	1068974	1072215	+	AT4G02430
Chr4	gene	1072481	1073779	+	AT4G02440
Chr4	gene	1073753	1075893	-	AT4G02450
Chr4	gene	1076136	1080722	-	AT4G02460
Chr4	gene	1080962	1081680	+	AT4G02465
Chr4	gene	1081759	1088846	-	AT4G02480
Chr4	gene	1092002	1092484	+	AT4G02482
Chr4	gene	1092681	1094597	+	AT4G02485
Chr4	gene	1097532	1097645	-	AT4G02489
Chr4	gene	1101507	1103610	+	AT4G02500
Chr4	gene	1104766	1109600	+	AT4G02510
Chr4	gene	1110452	1111660	-	AT4G02520
Chr4	gene	1112141	1114029	-	AT4G02530
Chr4	gene	1117154	1119817	+	AT4G02540
Chr4	gene	1119849	1119989	-	AT4G02541
Chr4	gene	1120421	1122223	-	AT4G02550
Chr4	gene	1122603	1122678	+	AT4G02555
Chr4	gene	1123490	1128421	-	AT4G02560
Chr4	gene	1128515	1133774	+	AT4G02570
Chr4	gene	1134467	1137156	+	AT4G02580
Chr4	gene	1137498	1140499	-	AT4G02590
Chr4	gene	1143962	1147422	+	AT4G02600
Chr4	gene	1147634	1149336	+	AT4G02610
Chr4	gene	1149248	1151346	-	AT4G02620
Chr4	gene	1151613	1153356	+	AT4G02630
Chr4	gene	1153997	1156320	+	AT4G02640
Chr4	gene	1156453	1158653	+	AT4G02650
Chr4	gene	1158848	1159422	+	AT4G02655
Chr4	gene	1159667	1174321	-	AT4G02660
Chr4	gene	1176190	1178489	-	AT4G02670
Chr4	gene	1181049	1184930	-	AT4G02680
Chr4	gene	1185751	1187816	+	AT4G02690
Chr4	gene	1188983	1193611	+	AT4G02700
Chr4	gene	1193516	1197630	-	AT4G02710
Chr4	gene	1202170	1203380	-	AT4G02715
Chr4	gene	1204303	1205866	-	AT4G02720
Chr4	gene	1206004	1207436	+	AT4G02725
Chr4	gene	1207725	1209287	+	AT4G02730
Chr4	gene	1210140	1211532	-	AT4G02733
Chr4	gene	1217591	1220857	-	AT4G02740
Chr4	gene	1221116	1223461	-	AT4G02750
Chr4	gene	1223959	1228941	-	AT4G02760
Chr4	gene	1229111	1229945	-	AT4G02770
Chr4	gene	1237767	1244813	-	AT4G02780
Chr4	gene	1247386	1249588	+	AT4G02790
Chr4	gene	1250015	1251681	+	AT4G02800
Chr4	gene	1256162	1257212	+	AT4G02810
Chr4	gene	1258568	1260665	+	AT4G02820
Chr4	gene	1262245	1264101	+	AT4G02830
Chr4	gene	1264627	1266486	+	AT4G02840
Chr4	gene	1266463	1268612	-	AT4G02850
Chr4	gene	1268713	1270525	-	AT4G02860
Chr4	gene	1271654	1272746	-	AT4G02870
Chr4	gene	1272781	1272933	-	AT4G02871
Chr4	gene	1274465	1278718	+	AT4G02880
Chr4	gene	1278530	1280031	-	AT4G02890
Chr4	gene	1284066	1287747	+	AT4G02900
Chr4	gene	1288486	1289615	-	AT4G02910
Chr4	gene	1292523	1294861	+	AT4G02920
Chr4	gene	1295409	1298404	-	AT4G02930
Chr4	gene	1306503	1310946	+	AT4G02940
Chr4	gene	1311198	1312154	+	AT4G02950
Chr4	gene	1317499	1319179	+	AT4G02970
Chr4	gene	1319656	1321477	-	AT4G02980
Chr4	gene	1321859	1324004	+	AT4G02990
Chr4	gene	1324108	1327520	+	AT4G03000
Chr4	gene	1329952	1331139	+	AT4G03010
Chr4	gene	1331399	1335297	-	AT4G03020
Chr4	gene	1335729	1337368	-	AT4G03030
Chr4	gene	1340115	1341289	-	AT4G03038
Chr4	gene	1340479	1340656	+	AT4G03039
Chr4	gene	1341083	1343140	+	AT4G03040
Chr4	gene	1344182	1346501	+	AT4G03050
Chr4	gene	1358432	1359698	+	AT4G03070
Chr4	gene	1359655	1365475	-	AT4G03080
Chr4	gene	1366282	1371557	-	AT4G03090
Chr4	gene	1374281	1376231	+	AT4G03100
Chr4	gene	1376306	1379420	-	AT4G03110
Chr4	gene	1382553	1382741	-	AT4G03113
Chr4	gene	1382438	1385485	-	AT4G03115
Chr4	gene	1385660	1387739	+	AT4G03120
Chr4	gene	1387781	1390646	-	AT4G03130
Chr4	gene	1390895	1390966	+	AT4G03135
Chr4	gene	1392121	1393842	+	AT4G03140
Chr4	gene	1393614	1394574	-	AT4G03150
Chr4	gene	1394845	1395588	-	AT4G03153
Chr4	gene	1396002	1396784	-	AT4G03156
Chr4	gene	1397979	1398685	+	AT4G03160
Chr4	gene	1399378	1400291	-	AT4G03165
Chr4	gene	1400832	1401584	+	AT4G03170
Chr4	gene	1402187	1402864	-	AT4G03175
Chr4	gene	1403117	1404937	+	AT4G03180
Chr4	gene	1404887	1407139	-	AT4G03190
Chr4	gene	1408159	1412756	+	AT4G03200
Chr4	gene	1412785	1414902	+	AT4G03205
Chr4	gene	1415949	1417352	+	AT4G03210
Chr4	gene	1417472	1419148	+	AT4G03220
Chr4	gene	1419278	1423337	-	AT4G03230
Chr4	gene	1423445	1424772	-	AT4G03240
Chr4	gene	1424902	1427744	+	AT4G03250
Chr4	gene	1428171	1431663	+	AT4G03260
Chr4	gene	1432375	1433691	-	AT4G03270
Chr4	gene	1440146	1441863	+	AT4G03280
Chr4	gene	1442005	1442076	+	AT4G03285
Chr4	gene	1442634	1443499	+	AT4G03290
Chr4	gene	1444672	1445220	-	AT4G03292
Chr4	gene	1445879	1445954	-	AT4G03295
Chr4	gene	1446681	1447718	+	AT4G03298
Chr4	gene	1464467	1466165	+	AT4G03320
Chr4	gene	1466336	1467750	+	AT4G03330
Chr4	gene	1467727	1470080	-	AT4G03340
Chr4	gene	1473718	1474509	-	AT4G03350
Chr4	gene	1474998	1475852	-	AT4G03360
Chr4	gene	1478078	1478965	-	AT4G03370
Chr4	gene	1485049	1490228	-	AT4G03380
Chr4	gene	1490465	1495103	-	AT4G03390
Chr4	gene	1497536	1499865	-	AT4G03400
Chr4	gene	1501607	1501678	+	AT4G03405
Chr4	gene	1501168	1503561	+	AT4G03410
Chr4	gene	1503573	1506500	-	AT4G03415
Chr4	gene	1511839	1514030	+	AT4G03420
Chr4	gene	1517134	1520563	-	AT4G03430
Chr4	gene	1520784	1520856	-	AT4G03435
Chr4	gene	1523306	1523503	-	AT4G03438
Chr4	gene	1524199	1527133	-	AT4G03440
Chr4	gene	1527716	1528057	+	AT4G03443
Chr4	gene	1528134	1528370	-	AT4G03445
Chr4	gene	1529446	1531780	-	AT4G03450
Chr4	gene	1535426	1535661	-	AT4G03455
Chr4	gene	1536404	1540111	-	AT4G03460
Chr4	gene	1542059	1544283	-	AT4G03470
Chr4	gene	1546024	1548871	-	AT4G03480
Chr4	gene	1549176	1552784	-	AT4G03490
Chr4	gene	1553092	1556571	+	AT4G03500
Chr4	gene	1556888	1557319	-	AT4G03505
Chr4	gene	1557120	1559428	-	AT4G03510
Chr4	gene	1562359	1564192	-	AT4G03520
Chr4	gene	1570042	1571483	+	AT4G03540
Chr4	gene	1573348	1579696	+	AT4G03550
Chr4	gene	1580056	1585966	+	AT4G03560
Chr4	gene	1586747	1587734	+	AT4G03565
Chr4	gene	1588564	1589230	-	AT4G03566
Chr4	gene	1590413	1594105	-	AT4G03570
Chr4	gene	1596985	1599091	+	AT4G03580
Chr4	gene	1600780	1602950	-	AT4G03590
Chr4	gene	1603702	1604508	-	AT4G03600
Chr4	gene	1604939	1606982	+	AT4G03610
Chr4	gene	1607040	1608665	-	AT4G03620
Chr4	gene	1608750	1610037	+	AT4G03630
Chr4	gene	1611752	1612756	+	AT4G03635
Chr4	gene	1649665	1650104	-	AT4G03723
Chr4	gene	1652242	1652976	-	AT4G03728
Chr4	gene	1661992	1663515	-	AT4G03740
Chr4	gene	1756584	1757097	+	AT4G03811
Chr4	gene	1771863	1774422	-	AT4G03820
Chr4	gene	1784402	1784530	-	AT4G03827
Chr4	gene	1790440	1792458	+	AT4G03830
Chr4	gene	1870422	1872387	+	AT4G03930
Chr4	gene	1869052	1874687	-	AT4G03935
Chr4	gene	1873624	1875233	+	AT4G03940
Chr4	gene	1877872	1878545	+	AT4G03945
Chr4	gene	1879518	1881111	+	AT4G03950
Chr4	gene	1887528	1889211	+	AT4G03960
Chr4	gene	1889473	1890412	+	AT4G03965
Chr4	gene	1932144	1933950	+	AT4G04020
Chr4	gene	1936653	1937972	-	AT4G04030
Chr4	gene	1939250	1942954	+	AT4G04040
Chr4	gene	1961139	1961892	+	AT4G04077
Chr4	gene	1961640	1961747	-	AT4G04078
Chr4	gene	1963358	1964423	+	AT4G04080
Chr4	gene	1964980	1965650	+	AT4G04090
Chr4	gene	1972591	1974014	+	AT4G04110
Chr4	gene	2020436	2023992	+	AT4G04180
Chr4	gene	2024578	2026460	+	AT4G04190
Chr4	gene	2027165	2028978	+	AT4G04200
Chr4	gene	2030319	2031853	+	AT4G04210
Chr4	gene	2033427	2035946	+	AT4G04220
Chr4	gene	2035159	2036370	-	AT4G04221
Chr4	gene	2036511	2037816	+	AT4G04223
Chr4	gene	2054636	2055849	+	AT4G04260
Chr4	gene	2095259	2096518	+	AT4G04315
Chr4	gene	2113404	2116693	+	AT4G04320
Chr4	gene	2116553	2118597	-	AT4G04330
Chr4	gene	2122685	2126844	+	AT4G04340
Chr4	gene	2128090	2133150	+	AT4G04350
Chr4	gene	2133139	2133935	-	AT4G04360
Chr4	gene	2134060	2136249	-	AT4G04370
Chr4	gene	2164007	2165404	+	AT4G04402
Chr4	gene	2166973	2167980	+	AT4G04404
Chr4	gene	2203424	2204264	+	AT4G04423
Chr4	gene	2218379	2221114	+	AT4G04450
Chr4	gene	2224422	2227874	+	AT4G04460
Chr4	gene	2227661	2229280	-	AT4G04470
Chr4	gene	2229649	2230845	+	AT4G04480
Chr4	gene	2231957	2234638	-	AT4G04490
Chr4	gene	2238411	2240865	+	AT4G04500
Chr4	gene	2242122	2244930	+	AT4G04510
Chr4	gene	2259580	2262138	+	AT4G04540
Chr4	gene	2289959	2292755	+	AT4G04570
Chr4	gene	2293761	2294906	-	AT4G04580
Chr4	gene	2309413	2309571	-	AT4G04601
Chr4	gene	2325003	2327013	+	AT4G04610
Chr4	gene	2327044	2328264	-	AT4G04614
Chr4	gene	2328449	2330200	-	AT4G04620
Chr4	gene	2331677	2332800	-	AT4G04630
Chr4	gene	2339586	2340049	-	AT4G04632
Chr4	gene	2350498	2352018	-	AT4G04640
Chr4	gene	2353989	2355213	-	AT4G04650
Chr4	gene	2367566	2372216	+	AT4G04670
Chr4	gene	2372266	2373327	+	AT4G04680
Chr4	gene	2373999	2375135	-	AT4G04690
Chr4	gene	2381634	2383996	-	AT4G04695
Chr4	gene	2385276	2387986	-	AT4G04700
Chr4	gene	2389598	2392887	-	AT4G04710
Chr4	gene	2394458	2397759	-	AT4G04720
Chr4	gene	2401927	2402349	-	AT4G04730
Chr4	gene	2403609	2408737	-	AT4G04740
Chr4	gene	2412754	2413328	-	AT4G04745
Chr4	gene	2417888	2422624	+	AT4G04750
Chr4	gene	2424164	2427769	+	AT4G04760
Chr4	gene	2427799	2429850	-	AT4G04770
Chr4	gene	2431024	2431702	+	AT4G04775
Chr4	gene	2432309	2433550	+	AT4G04780
Chr4	gene	2434907	2439403	-	AT4G04790
Chr4	gene	2439546	2441205	+	AT4G04800
Chr4	gene	2441327	2442567	+	AT4G04810
Chr4	gene	2445794	2447086	+	AT4G04830
Chr4	gene	2449560	2451589	+	AT4G04840
Chr4	gene	2452664	2457767	+	AT4G04850
Chr4	gene	2459880	2461739	+	AT4G04860
Chr4	gene	2461674	2464143	-	AT4G04870
Chr4	gene	2464859	2467166	-	AT4G04880
Chr4	gene	2471972	2475981	+	AT4G04885
Chr4	gene	2476489	2482345	-	AT4G04890
Chr4	gene	2486218	2487779	-	AT4G04900
Chr4	gene	2489417	2495766	-	AT4G04910
Chr4	gene	2497644	2505535	+	AT4G04920
Chr4	gene	2506163	2506786	+	AT4G04925
Chr4	gene	2509133	2511145	+	AT4G04930
Chr4	gene	2511028	2517193	-	AT4G04940
Chr4	gene	2517666	2519977	-	AT4G04950
Chr4	gene	2521330	2521530	-	AT4G04953
Chr4	gene	2522034	2525280	-	AT4G04955
Chr4	gene	2526806	2527362	-	AT4G04957
Chr4	gene	2533056	2535386	+	AT4G04960
Chr4	gene	2537039	2543131	+	AT4G04970
Chr4	gene	2543464	2543971	+	AT4G04972
Chr4	gene	2544210	2547999	-	AT4G04980
Chr4	gene	2548995	2549471	-	AT4G04985
Chr4	gene	2555090	2557046	+	AT4G04990
Chr4	gene	2563044	2564740	+	AT4G05000
Chr4	gene	2567474	2568162	+	AT4G05010
Chr4	gene	2571413	2572177	+	AT4G05018
Chr4	gene	2572621	2576595	+	AT4G05020
Chr4	gene	2576790	2577974	-	AT4G05030
Chr4	gene	2578646	2581798	+	AT4G05040
Chr4	gene	2586978	2587104	-	AT4G05048
Chr4	gene	2588004	2589386	-	AT4G05050
Chr4	gene	2590065	2592163	-	AT4G05060
Chr4	gene	2593595	2594119	-	AT4G05070
Chr4	gene	2594154	2594297	-	AT4G05071
Chr4	gene	2603001	2604176	+	AT4G05080
Chr4	gene	2609142	2611762	+	AT4G05090
Chr4	gene	2611781	2611981	+	AT4G05091
Chr4	gene	2613798	2614214	-	AT4G05095
Chr4	gene	2618454	2619887	+	AT4G05100
Chr4	gene	2625950	2626056	+	AT4G05105
Chr4	gene	2626405	2628830	-	AT4G05110
Chr4	gene	2632693	2635000	-	AT4G05120
Chr4	gene	2636875	2638965	-	AT4G05130
Chr4	gene	2649683	2649898	-	AT4G05136
Chr4	gene	2651015	2653208	-	AT4G05140
Chr4	gene	2660338	2662908	+	AT4G05150
Chr4	gene	2664385	2666707	+	AT4G05160
Chr4	gene	2667990	2669364	-	AT4G05170
Chr4	gene	2671822	2673243	-	AT4G05180
Chr4	gene	2675101	2680214	+	AT4G05190
Chr4	gene	2679723	2682309	-	AT4G05200
Chr4	gene	2682867	2684899	+	AT4G05210
Chr4	gene	2685104	2685784	-	AT4G05220
Chr4	gene	2687003	2687623	+	AT4G05230
Chr4	gene	2688200	2689018	+	AT4G05240
Chr4	gene	2691460	2692416	+	AT4G05250
Chr4	gene	2693680	2694459	+	AT4G05260
Chr4	gene	2694713	2694850	-	AT4G05265
Chr4	gene	2694939	2695328	+	AT4G05270
